,time,open,high,low,close,volume,ticker
1,1/4/2016,12320,12350,12160,12160,602210,FPT
2,1/5/2016,12160,12210,12130,12160,734050,FPT
3,1/6/2016,12160,12250,12160,12190,446810,FPT
4,1/7/2016,12190,12190,11960,11960,1841620,FPT
5,1/8/2016,11910,11940,11700,11780,1773760,FPT
6,1/11/2016,11780,11780,11680,11680,805440,FPT
7,1/12/2016,11700,11940,11630,11940,582160,FPT
8,1/13/2016,11960,12040,11780,11810,542910,FPT
9,1/14/2016,11730,11810,11700,11760,509720,FPT
10,1/15/2016,11760,11830,11700,11730,593280,FPT
11,1/18/2016,11580,11630,11280,11430,2255130,FPT
12,1/19/2016,11460,11530,11370,11480,873480,FPT
13,1/20/2016,11480,11580,11430,11430,651980,FPT
14,1/21/2016,11370,11480,11350,11430,647810,FPT
15,1/22/2016,11460,11480,11280,11410,692750,FPT
16,1/25/2016,11580,11990,11460,11990,892040,FPT
17,1/26/2016,11830,11860,11680,11680,661130,FPT
18,1/27/2016,11830,11830,11760,11780,336620,FPT
19,1/28/2016,11780,11810,11650,11700,491030,FPT
20,1/29/2016,11780,11830,11680,11810,496970,FPT
21,2/1/2016,11830,11940,11700,11860,584110,FPT
22,2/2/2016,11780,11890,11760,11760,184210,FPT
23,2/3/2016,11810,11940,11760,11860,641500,FPT
24,2/4/2016,11940,11940,11830,11830,282030,FPT
25,2/5/2016,11890,11960,11830,11940,363780,FPT
26,2/15/2016,11890,11910,11780,11890,342070,FPT
27,2/16/2016,11960,12080,11890,12040,346480,FPT
28,2/17/2016,12110,12270,12080,12080,719440,FPT
29,2/18/2016,12130,12300,12110,12250,737190,FPT
30,2/19/2016,12210,12210,12110,12130,530400,FPT
31,2/22/2016,12130,12270,12130,12270,518820,FPT
32,2/23/2016,12350,12350,12160,12160,727180,FPT
33,2/24/2016,12130,12210,12110,12160,655980,FPT
34,2/25/2016,12210,12300,12110,12110,673070,FPT
35,2/26/2016,12130,12160,12060,12130,383230,FPT
36,2/29/2016,12190,12190,12110,12160,516250,FPT
37,3/1/2016,12130,12440,12110,12270,1215810,FPT
38,3/2/2016,12320,12420,12300,12400,811910,FPT
39,3/3/2016,12440,12550,12420,12420,831440,FPT
40,3/4/2016,12380,12550,12380,12470,855930,FPT
