,time,open,high,low,close,volume,ticker
1,1/4/2016,3880,3880,3810,3810,404530,HPG
2,1/5/2016,3800,3830,3770,3770,628760,HPG
3,1/6/2016,3770,3840,3770,3840,658730,HPG
4,1/7/2016,3790,3800,3720,3730,1030130,HPG
5,1/8/2016,3670,3720,3640,3670,864290,HPG
6,1/11/2016,3690,3690,3650,3670,488320,HPG
7,1/12/2016,3650,3720,3650,3710,343540,HPG
8,1/13/2016,3720,3720,3640,3640,685150,HPG
9,1/14/2016,3630,3630,3490,3510,1479820,HPG
10,1/15/2016,3510,3520,3350,3380,2199370,HPG
11,1/18/2016,3190,3300,3160,3280,2898070,HPG
12,1/19/2016,3300,3380,3280,3340,2466700,HPG
13,1/20/2016,3310,3380,3270,3340,1989300,HPG
14,1/21/2016,3280,3380,3280,3380,2017340,HPG
15,1/22/2016,3390,3430,3350,3390,2755250,HPG
16,1/25/2016,3440,3610,3440,3600,1238860,HPG
17,1/26/2016,3510,3590,3480,3490,1299900,HPG
18,1/27/2016,3560,3570,3520,3550,1218350,HPG
19,1/28/2016,3560,3600,3510,3510,778140,HPG
20,1/29/2016,3530,3640,3510,3640,860030,HPG
21,2/1/2016,3640,3710,3530,3530,855840,HPG
22,2/2/2016,3510,3560,3490,3550,289590,HPG
23,2/3/2016,3490,3560,3480,3550,1232420,HPG
24,2/4/2016,3560,3590,3560,3570,177320,HPG
25,2/5/2016,3570,3600,3550,3570,155980,HPG
26,2/15/2016,3570,3570,3440,3490,1033620,HPG
27,2/16/2016,3490,3550,3490,3530,489920,HPG
28,2/17/2016,3510,3550,3510,3530,605330,HPG
29,2/18/2016,3550,3590,3550,3550,502930,HPG
30,2/19/2016,3550,3590,3550,3570,704540,HPG
31,2/22/2016,3560,3670,3560,3600,1091060,HPG
32,2/23/2016,3690,3690,3600,3600,807300,HPG
33,2/24/2016,3600,3610,3550,3600,669660,HPG
34,2/25/2016,3610,3690,3600,3610,941770,HPG
35,2/26/2016,3630,3760,3610,3760,1862030,HPG
36,2/29/2016,3810,3810,3690,3690,941320,HPG
37,3/1/2016,3690,3690,3610,3630,964040,HPG
38,3/2/2016,3640,3650,3550,3600,1616220,HPG
39,3/3/2016,3630,3640,3570,3570,737360,HPG
40,3/4/2016,3590,3670,3560,3640,758830,HPG
41,3/7/2016,3650,3720,3640,3680,2201530,HPG
42,3/8/2016,3730,3880,3730,3830,6767430,HPG
