,time,open,high,low,close,volume,ticker
1,1/4/2016,9090,9200,8910,9030,396020,MWG
2,1/5/2016,9030,9030,8860,9030,98210,MWG
3,1/6/2016,8970,9030,8910,8970,76610,MWG
4,1/7/2016,8910,8910,8580,8690,222750,MWG
5,1/8/2016,8630,8690,8350,8580,97350,MWG
6,1/11/2016,8520,8580,8350,8460,96610,MWG
7,1/12/2016,8350,8580,8350,8580,72520,MWG
8,1/13/2016,8630,8630,8520,8520,58300,MWG
9,1/14/2016,8400,8460,8290,8400,177250,MWG
10,1/15/2016,8400,8400,8290,8290,103340,MWG
11,1/18/2016,8170,8230,7720,7880,222550,MWG
12,1/19/2016,7880,8119,7830,8119,86980,MWG
13,1/20/2016,8119,8119,7940,8000,49190,MWG
14,1/21/2016,8000,8000,7830,7880,65230,MWG
15,1/22/2016,7880,8000,7660,7780,94540,MWG
16,1/25/2016,8119,8230,7940,8230,175000,MWG
17,1/26/2016,8119,8170,8000,8119,59150,MWG
18,1/27/2016,8119,8170,8060,8170,55080,MWG
19,1/28/2016,8170,8170,8000,8000,32570,MWG
20,1/29/2016,8000,8230,8000,8230,149010,MWG
21,2/1/2016,8119,8290,8119,8230,105090,MWG
22,2/2/2016,8170,8290,8170,8230,51310,MWG
23,2/3/2016,8119,8230,8119,8230,38030,MWG
24,2/4/2016,8230,8350,8230,8230,46320,MWG
25,2/5/2016,8290,8400,8230,8400,41110,MWG
26,2/15/2016,8230,8350,8170,8290,41340,MWG
27,2/16/2016,8290,8290,8170,8290,79510,MWG
28,2/17/2016,8290,8350,8230,8230,91360,MWG
29,2/18/2016,8230,8580,8230,8520,133790,MWG
30,2/19/2016,8580,8580,8460,8460,52460,MWG
31,2/22/2016,8520,8690,8520,8690,132720,MWG
32,2/23/2016,8810,8910,8750,8810,265520,MWG
33,2/24/2016,8810,8910,8690,8860,61870,MWG
34,2/25/2016,8860,8910,8690,8690,197130,MWG
35,2/26/2016,8690,8810,8630,8630,137910,MWG
36,2/29/2016,8750,8750,8580,8580,140520,MWG
37,3/1/2016,8630,8690,8580,8630,109110,MWG
38,3/2/2016,8630,9030,8630,9030,393160,MWG
39,3/3/2016,9030,9030,8970,9030,86750,MWG
40,3/4/2016,8970,9260,8910,9090,339340,MWG
41,3/7/2016,9090,9140,8970,9030,132110,MWG
42,3/8/2016,9030,9090,8910,8970,107410,MWG
43,3/9/2016,8910,9030,8910,8910,109120,MWG
44,3/10/2016,8910,9030,8910,9030,105310,MWG
45,3/11/2016,9030,9140,8970,9090,210430,MWG
46,3/14/2016,9090,9200,9030,9090,90150,MWG
47,3/15/2016,9090,9090,8970,9090,113840,MWG
48,3/16/2016,9030,9030,8810,8810,298870,MWG
49,3/17/2016,8860,8910,8690,8810,195920,MWG
50,3/18/2016,8810,8860,8750,8810,79290,MWG
51,3/21/2016,8910,9030,8860,8910,177050,MWG
52,3/22/2016,8910,8970,8810,8810,73360,MWG
53,3/23/2016,8860,8910,8810,8910,81460,MWG
54,3/24/2016,8970,9030,8860,8970,166690,MWG
55,3/25/2016,8970,9030,8910,8970,93810,MWG
56,3/28/2016,9030,9030,8910,8910,85470,MWG
57,3/29/2016,8860,8970,8810,8860,101140,MWG
58,3/30/2016,8750,8860,8750,8810,30870,MWG
59,3/31/2016,8810,8860,8630,8630,59990,MWG
60,4/1/2016,8690,8690,8580,8630,76360,MWG
61,4/4/2016,8630,8690,8580,8580,34900,MWG
62,4/5/2016,8580,8690,8580,8690,35210,MWG
63,4/6/2016,8690,8750,8580,8630,33560,MWG
64,4/7/2016,8690,8750,8630,8690,44780,MWG
65,4/8/2016,8690,8810,8630,8750,101900,MWG
66,4/11/2016,8750,8860,8750,8810,96990,MWG
67,4/12/2016,8810,8860,8690,8750,41990,MWG
68,4/13/2016,8690,8810,8630,8690,32250,MWG
69,4/14/2016,8630,8690,8580,8630,65170,MWG
70,4/15/2016,8520,8750,8520,8690,82180,MWG
71,4/19/2016,8690,8690,8460,8460,56650,MWG
72,4/20/2016,8400,8460,8350,8460,49000,MWG
73,4/21/2016,8460,8460,8350,8460,27270,MWG
