,time,open,high,low,close,volume,ticker
1,1/4/2016,12500,12560,12400,12450,195650,REE
2,1/5/2016,12400,12450,12200,12250,247280,REE
3,1/6/2016,12250,12350,12200,12300,256010,REE
4,1/7/2016,12300,12300,12100,12200,430010,REE
5,1/8/2016,12150,12150,12000,12000,388170,REE
6,1/11/2016,12000,12200,12000,12000,206890,REE
7,1/12/2016,12100,12350,12060,12350,252660,REE
8,1/13/2016,12450,12650,12400,12500,662530,REE
9,1/14/2016,12350,12500,12300,12450,283560,REE
10,1/15/2016,12500,12500,12250,12250,74090,REE
11,1/18/2016,12000,12000,11660,11710,830590,REE
12,1/19/2016,11710,11910,11710,11910,273900,REE
13,1/20/2016,11810,12000,11810,11810,157410,REE
14,1/21/2016,11810,11850,11610,11610,307370,REE
15,1/22/2016,11660,11760,11450,11760,275220,REE
16,1/25/2016,11760,12250,11760,12150,302020,REE
17,1/26/2016,12100,12350,11910,12250,254160,REE
18,1/27/2016,12350,12400,12300,12300,176280,REE
19,1/28/2016,12350,12350,12200,12200,114830,REE
20,1/29/2016,12200,12600,12200,12560,426980,REE
21,2/1/2016,12600,12600,12400,12500,200910,REE
22,2/2/2016,12500,12650,12500,12600,298450,REE
23,2/3/2016,12560,12560,12450,12560,203110,REE
24,2/4/2016,12500,12650,12500,12560,116290,REE
25,2/5/2016,12650,12750,12560,12650,410290,REE
26,2/15/2016,12790,12790,12650,12790,337840,REE
27,2/16/2016,12790,12900,12690,12690,336090,REE
28,2/17/2016,12790,12900,12750,12840,424410,REE
29,2/18/2016,12840,12840,12750,12840,365810,REE
30,2/19/2016,12840,12840,12690,12690,302490,REE
31,2/22/2016,12690,12840,12690,12750,200250,REE
32,2/23/2016,12840,12840,12690,12750,397400,REE
33,2/24/2016,12750,12840,12690,12840,362930,REE
34,2/25/2016,12790,12840,12690,12750,402420,REE
35,2/26/2016,13010,13010,12750,12750,360860,REE
36,2/29/2016,12750,12750,12590,12650,108760,REE
37,3/1/2016,12590,13520,12540,13410,2559430,REE
38,3/2/2016,13520,13620,13160,13220,1187640,REE
39,3/3/2016,13310,13310,12900,12900,536880,REE
40,3/4/2016,12900,13160,12800,13060,1266960,REE
41,3/7/2016,13060,13110,12960,12960,633480,REE
42,3/8/2016,12960,13010,12850,12850,609400,REE
