,time,open,high,low,close,volume,ticker
1,1/4/2016,3380,2920,2920,2920,500,TV2
2,1/5/2016,3380,2920,2920,2920,100,TV2
3,1/6/2016,3370,2920,2910,2920,3500,TV2
4,1/7/2016,3400,2930,2920,2930,3549,TV2
5,1/8/2016,3380,2930,2900,2930,3700,TV2
6,1/11/2016,3400,2930,2930,2930,300,TV2
7,1/12/2016,3400,3040,2930,3040,5150,TV2
8,1/13/2016,3540,3040,3010,3010,5000,TV2
9,1/14/2016,3500,3290,2940,3290,2500,TV2
10,1/15/2016,3490,3000,2990,2990,600,TV2
11,1/18/2016,3470,3230,2990,2990,1600,TV2
12,1/19/2016,2990,2990,2990,2990,0,TV2
13,1/20/2016,3400,2940,2930,2940,1200,TV2
14,1/21/2016,3400,2930,2930,2930,1200,TV2
15,1/22/2016,3430,2950,2950,2950,1000,TV2
16,1/25/2016,3470,2980,2980,2980,2600,TV2
17,1/26/2016,3400,2980,2940,2980,4300,TV2
18,1/27/2016,2980,2980,2980,2980,0,TV2
19,1/28/2016,2980,2980,2980,2980,0,TV2
20,1/29/2016,2980,2980,2980,2980,0,TV2
21,2/1/2016,2980,2980,2980,2980,0,TV2
22,2/2/2016,3470,3230,2950,3010,6700,TV2
23,2/3/2016,3500,3200,2980,3200,9700,TV2
24,2/4/2016,3720,3200,3200,3200,500,TV2
25,2/5/2016,4080,3510,3490,3510,53800,TV2
26,2/15/2016,4160,3580,3580,3580,1500,TV2
27,2/16/2016,3750,3470,3230,3470,299,TV2
28,2/17/2016,3810,3490,3290,3470,2900,TV2
29,2/18/2016,3810,3570,3170,3410,4100,TV2
30,2/19/2016,3980,3490,3420,3490,2300,TV2
31,2/22/2016,4059,3580,3490,3500,2200,TV2
32,2/23/2016,4080,3510,3460,3480,7500,TV2
33,2/24/2016,4010,3450,3350,3350,8000,TV2
34,2/25/2016,3920,3370,3370,3370,1000,TV2
35,2/26/2016,4019,3460,3380,3400,1100,TV2
36,2/29/2016,4090,3650,3520,3520,8300,TV2
37,3/1/2016,4100,3520,3490,3490,1101,TV2
38,3/2/2016,4100,3560,3520,3540,2400,TV2
39,3/3/2016,4140,3700,3560,3690,3100,TV2
40,3/4/2016,4170,3760,3590,3690,4301,TV2
41,3/7/2016,4170,3650,3580,3650,4901,TV2
42,3/8/2016,4230,3710,3620,3620,800,TV2
43,3/9/2016,4160,3760,3580,3740,6500,TV2
44,3/10/2016,4190,3740,3620,3740,800,TV2
45,3/11/2016,3760,3760,3760,3760,1200,TV2
46,3/14/2016,3760,3760,3650,3760,4800,TV2
47,3/15/2016,3760,3760,3650,3760,2900,TV2
48,3/16/2016,3760,3760,3710,3710,2300,TV2
49,3/17/2016,3740,3760,3740,3760,209,TV2
50,3/18/2016,3760,3830,3760,3830,3100,TV2
51,3/21/2016,3880,4210,3880,4210,10801,TV2
52,3/22/2016,4240,4300,4210,4300,5700,TV2
53,3/23/2016,4240,4390,4180,4390,5800,TV2
54,3/24/2016,4380,4780,4390,4660,14000,TV2
55,3/25/2016,4660,4940,4660,4730,6100,TV2
56,3/28/2016,4780,4780,4720,4770,4500,TV2
57,3/29/2016,4720,4720,4460,4470,14700,TV2
58,3/30/2016,4480,4530,4470,4530,9000,TV2
59,3/31/2016,4480,4530,4480,4530,6100,TV2
60,4/1/2016,4500,4530,4490,4530,23400,TV2
61,4/4/2016,4530,4540,4530,4540,4000,TV2
62,4/5/2016,4540,5000,4540,4900,29500,TV2
63,4/6/2016,4920,4940,4850,4900,17600,TV2
64,4/7/2016,4930,5080,4880,5080,10300,TV2
65,4/8/2016,4950,5110,4950,4980,6600,TV2
66,4/11/2016,4990,5070,4840,5070,12200,TV2
67,4/12/2016,4930,5080,4920,4950,7402,TV2
68,4/13/2016,4910,5080,4910,5010,13366,TV2
69,4/14/2016,5010,5320,5010,5320,11300,TV2
70,4/15/2016,5200,5320,5140,5140,8300,TV2
71,4/19/2016,5200,5370,5140,5370,12600,TV2
72,4/20/2016,5370,5730,5370,5680,8400,TV2
73,4/21/2016,5550,5680,5460,5460,8300,TV2
74,4/22/2016,5550,6010,5560,6010,8700,TV2
75,4/25/2016,5910,6330,5860,6330,12760,TV2
76,4/26/2016,6330,6740,6330,6740,12600,TV2
77,4/27/2016,6750,6760,6360,6360,8200,TV2
78,4/28/2016,6450,6450,5870,5970,10300,TV2
79,4/29/2016,5880,6100,5870,5970,14300,TV2
80,5/4/2016,5970,6270,5850,6270,15600,TV2
81,5/5/2016,5860,5910,5850,5880,3200,TV2
82,5/6/2016,5370,5890,5370,5850,9800,TV2
83,5/9/2016,5970,5970,5690,5760,4400,TV2
84,5/10/2016,5680,5730,5680,5730,1700,TV2
85,5/11/2016,5730,5820,5730,5820,1100,TV2
86,5/12/2016,5820,5820,5380,5520,1100,TV2
87,5/13/2016,5680,5680,5460,5490,10320,TV2
88,5/16/2016,5490,5530,5390,5460,8720,TV2
89,5/17/2016,5520,5530,5200,5200,4700,TV2
90,5/18/2016,5230,5490,5200,5490,10310,TV2
91,5/19/2016,5490,5490,5440,5440,2200,TV2
92,5/20/2016,5370,5490,5370,5490,2000,TV2
93,5/23/2016,5550,5560,5470,5560,1900,TV2
94,5/24/2016,5550,5560,5500,5500,1700,TV2
95,5/25/2016,5370,5560,5370,5490,6400,TV2
96,5/26/2016,5390,5430,5390,5420,1800,TV2
97,5/27/2016,5390,5400,5320,5320,3800,TV2
98,5/30/2016,5200,5320,5200,5280,4500,TV2
99,5/31/2016,5230,5370,5230,5370,10800,TV2
100,6/1/2016,5320,5430,5270,5430,5800,TV2
101,6/2/2016,5370,5460,5370,5400,3900,TV2
102,6/3/2016,5400,5910,5400,5830,3900,TV2
103,6/6/2016,5790,5790,5680,5730,7600,TV2
104,6/7/2016,5730,5910,5680,5910,11600,TV2
105,6/8/2016,5710,5730,5710,5730,200,TV2
106,6/9/2016,5790,5790,5790,5790,300,TV2
107,6/10/2016,5540,5790,5540,5790,3100,TV2
108,6/13/2016,5680,5850,5620,5850,1100,TV2
109,6/14/2016,5680,5850,5680,5830,3800,TV2
110,6/15/2016,5830,6120,5830,6120,357,TV2
111,6/16/2016,6110,6110,6110,6110,4010,TV2
112,6/17/2016,5970,5970,5830,5910,3900,TV2
113,6/20/2016,5910,6070,5910,6070,2230,TV2
114,6/21/2016,6110,6170,6110,6170,4910,TV2
115,6/22/2016,6290,6290,6290,6290,100,TV2
116,6/23/2016,6240,6310,6240,6310,3100,TV2
117,6/24/2016,6110,6240,5760,6170,29800,TV2
118,6/27/2016,5830,6160,5830,6160,7500,TV2
119,6/28/2016,6110,6110,6110,6110,100,TV2
120,6/29/2016,6110,6110,5970,6110,2400,TV2
121,6/30/2016,6110,6660,5980,6660,14200,TV2
122,7/1/2016,6170,6610,6170,6610,900,TV2
123,7/4/2016,6590,6660,6460,6600,2000,TV2
124,7/5/2016,6310,6390,6240,6310,5200,TV2
125,7/6/2016,6310,6310,6110,6310,2100,TV2
126,7/7/2016,6120,6120,6110,6120,1300,TV2
127,7/8/2016,6120,6570,6110,6570,3400,TV2
128,7/11/2016,6120,6410,6050,6410,2200,TV2
129,7/12/2016,6120,6340,6110,6340,9300,TV2
130,7/13/2016,6240,6240,6110,6120,4500,TV2
131,7/14/2016,6040,6140,6000,6140,3100,TV2
132,7/15/2016,6110,6170,6110,6170,400,TV2
133,7/18/2016,6240,6240,6210,6240,3700,TV2
134,7/19/2016,6110,6110,6110,6110,100,TV2
135,7/20/2016,6010,6160,6000,6160,1300,TV2
136,7/21/2016,6110,6160,6000,6160,500,TV2
137,7/22/2016,6000,6160,6000,6160,1510,TV2
138,7/25/2016,6170,6240,6110,6110,10000,TV2
139,7/26/2016,6110,6170,6080,6170,5800,TV2
140,7/27/2016,6170,6590,6110,6590,15320,TV2
141,7/28/2016,6590,6940,6590,6680,15765,TV2
142,7/29/2016,6680,6680,6680,6680,0,TV2
143,8/1/2016,6590,6660,6590,6590,4500,TV2
144,8/2/2016,6430,6550,6400,6550,4197,TV2
145,8/3/2016,6390,6500,6250,6500,2593,TV2
146,8/4/2016,6500,6510,6330,6510,3487,TV2
147,8/5/2016,6420,6510,6390,6490,2045,TV2
148,8/8/2016,6490,6870,6490,6870,43435,TV2
149,8/9/2016,6870,6870,6800,6800,3600,TV2
150,8/10/2016,6170,6870,6170,6870,35030,TV2
151,8/11/2016,6800,6940,6770,6840,29320,TV2
152,8/12/2016,6800,6840,6800,6840,3006,TV2
153,8/15/2016,6800,6940,6800,6940,4000,TV2
154,8/16/2016,6880,7010,6870,7010,620,TV2
155,8/17/2016,7010,7010,6850,6970,1300,TV2
156,8/18/2016,6970,7290,6940,6980,4627,TV2
157,8/19/2016,6950,6980,6940,6980,7473,TV2
158,8/22/2016,7010,7460,7010,7420,1607,TV2
159,8/23/2016,7490,7490,7090,7340,4017,TV2
160,8/24/2016,7350,7390,7330,7390,3494,TV2
161,8/25/2016,7390,7390,7390,7390,200,TV2
162,8/26/2016,7220,7450,7220,7450,2200,TV2
163,8/29/2016,7250,7420,7230,7390,9677,TV2
164,8/30/2016,7340,7340,7240,7340,2923,TV2
165,8/31/2016,7290,7320,7290,7320,1200,TV2
166,9/1/2016,7260,7340,7250,7340,4547,TV2
167,9/5/2016,7420,7550,7360,7510,2447,TV2
168,9/6/2016,7570,8240,7560,7800,8010,TV2
