,time,open,high,low,close,volume,ticker
1,1/4/2016,19720,19900,19260,19530,761750,VCB
2,1/5/2016,19400,19620,19170,19220,1133260,VCB
3,1/6/2016,19220,19530,19220,19440,699490,VCB
4,1/7/2016,19350,19400,18990,19220,935460,VCB
5,1/8/2016,19130,19260,18860,19080,676340,VCB
6,1/11/2016,19080,19170,18900,18950,742390,VCB
7,1/12/2016,18990,19310,18990,19310,481040,VCB
8,1/13/2016,19350,19400,19130,19130,448800,VCB
9,1/14/2016,18900,19080,18770,18900,641380,VCB
10,1/15/2016,18900,18990,18360,18360,880150,VCB
11,1/18/2016,17860,18090,17180,17450,1614080,VCB
12,1/19/2016,17450,18270,17450,18220,771340,VCB
13,1/20/2016,18000,18540,17860,18090,733790,VCB
14,1/21/2016,17860,18090,17680,17820,654450,VCB
15,1/22/2016,18090,18130,17450,17910,777540,VCB
16,1/25/2016,18090,18950,18090,18860,1367810,VCB
17,1/26/2016,18310,18680,18220,18360,656340,VCB
18,1/27/2016,18680,18680,18310,18310,582060,VCB
19,1/28/2016,18220,18450,18220,18310,562170,VCB
20,1/29/2016,18310,18720,18220,18720,1019250,VCB
21,2/1/2016,18720,18770,18400,18400,223320,VCB
22,2/2/2016,18400,18450,18220,18270,603810,VCB
23,2/3/2016,18090,18090,17770,17910,802180,VCB
24,2/4/2016,18090,18360,18090,18090,286750,VCB
25,2/5/2016,17910,18270,17910,18130,268300,VCB
26,2/15/2016,18000,18360,17820,18220,800790,VCB
27,2/16/2016,18130,18450,18130,18220,390050,VCB
28,2/17/2016,18220,18360,18000,18000,827530,VCB
29,2/18/2016,18090,18490,18040,18220,735780,VCB
30,2/19/2016,18360,18360,18130,18130,473670,VCB
31,2/22/2016,18130,18310,18090,18270,653090,VCB
32,2/23/2016,18400,18810,18400,18540,1130660,VCB
33,2/24/2016,18540,19440,18400,19130,1653800,VCB
34,2/25/2016,19220,19440,18810,18900,1236220,VCB
35,2/26/2016,18990,18990,18680,18990,493160,VCB
36,2/29/2016,18900,18990,18540,18540,887030,VCB
37,3/1/2016,18630,18770,18400,18400,849900,VCB
38,3/2/2016,18580,18950,18540,18860,647420,VCB
39,3/3/2016,18950,19040,18770,18810,464550,VCB
40,3/4/2016,18810,19220,18770,18900,681190,VCB
41,3/7/2016,18990,19080,18860,18900,567700,VCB
42,3/8/2016,18900,18990,18720,18810,775770,VCB
43,3/9/2016,18860,18950,18680,18720,469530,VCB
44,3/10/2016,18770,18860,18540,18810,643780,VCB
45,3/11/2016,18900,18950,18770,18810,510750,VCB
46,3/14/2016,18770,18860,18680,18860,807110,VCB
47,3/15/2016,18770,19040,18770,18990,1294120,VCB
48,3/16/2016,19040,19670,19040,19530,1864950,VCB
49,3/17/2016,19670,19760,19310,19310,1074970,VCB
50,3/18/2016,19260,19350,19080,19220,3546350,VCB
51,3/21/2016,19580,19850,19350,19400,1862820,VCB
52,3/22/2016,19440,19580,19350,19580,592130,VCB
53,3/23/2016,19580,19580,19350,19400,645700,VCB
54,3/24/2016,19400,19440,18990,19040,825250,VCB
55,3/25/2016,18990,19350,18810,19350,1381530,VCB
56,3/28/2016,19400,19440,19260,19350,533900,VCB
57,3/29/2016,19400,19400,18990,18990,325890,VCB
58,3/30/2016,18810,19130,18810,19040,444490,VCB
59,3/31/2016,18990,19080,18540,18540,937910,VCB
60,4/1/2016,18540,18720,18450,18490,554870,VCB
61,4/4/2016,18630,18680,18310,18490,439520,VCB
62,4/5/2016,18490,18720,18400,18540,610190,VCB
63,4/6/2016,18540,18990,18490,18990,920280,VCB
64,4/7/2016,19080,19080,18580,18860,594270,VCB
65,4/8/2016,18770,18860,18680,18720,653640,VCB
66,4/11/2016,18720,18990,18490,18810,985640,VCB
67,4/12/2016,18810,19260,18540,19040,970780,VCB
68,4/13/2016,19130,19170,18900,18950,633990,VCB
69,4/14/2016,18950,19220,18900,19130,774160,VCB
70,4/15/2016,19220,19670,19130,19220,1187790,VCB
71,4/19/2016,19260,19580,19080,19170,983900,VCB
72,4/20/2016,19220,19350,19040,19350,769750,VCB
73,4/21/2016,19350,19530,19260,19400,818280,VCB
74,4/22/2016,19400,20710,19400,20660,2478140,VCB
75,4/25/2016,20760,21160,20760,20760,1300050,VCB
76,4/26/2016,20570,21340,20570,21340,835300,VCB
77,4/27/2016,21340,21480,20760,20800,1194570,VCB
78,4/28/2016,20800,21160,20660,20890,693290,VCB
79,4/29/2016,20620,21160,20620,20800,726380,VCB
80,5/4/2016,20710,21120,20440,20850,747740,VCB
81,5/5/2016,21030,21610,20940,21300,1076200,VCB
82,5/6/2016,21430,22070,21340,21980,1525690,VCB
83,5/9/2016,21980,22290,21700,21700,831230,VCB
84,5/10/2016,21700,21980,21520,21980,544750,VCB
85,5/11/2016,21980,22250,21840,22160,713460,VCB
86,5/12/2016,22020,22290,21700,21700,488750,VCB
87,5/13/2016,21700,21840,21250,21520,679240,VCB
88,5/16/2016,21430,21840,21340,21840,377280,VCB
89,5/17/2016,21840,22070,21660,21840,663200,VCB
90,5/18/2016,21840,22520,21800,22160,1259090,VCB
91,5/19/2016,22160,22160,21750,21750,402860,VCB
92,5/20/2016,21980,22070,21340,21430,1038420,VCB
93,5/23/2016,21390,21610,20850,20850,701070,VCB
94,5/24/2016,20980,21030,20570,20760,757630,VCB
95,5/25/2016,21030,21120,20800,20800,272480,VCB
96,5/26/2016,20800,20940,20480,20480,722940,VCB
97,5/27/2016,20530,20620,20260,20480,591480,VCB
98,5/30/2016,20660,21160,20530,21160,535160,VCB
99,5/31/2016,21210,21480,21070,21120,490340,VCB
100,6/1/2016,21030,21250,21030,21210,370980,VCB
101,6/2/2016,21160,21390,21070,21300,290780,VCB
102,6/3/2016,21250,21480,21250,21390,440430,VCB
103,6/6/2016,21300,21930,21300,21610,783790,VCB
104,6/7/2016,21700,21840,21570,21750,435960,VCB
105,6/8/2016,21750,21980,21610,21660,912800,VCB
106,6/9/2016,21660,21840,21570,21750,401410,VCB
107,6/10/2016,21750,22200,21750,21930,885040,VCB
108,6/13/2016,21930,22110,21840,21890,1201150,VCB
109,6/14/2016,21750,21980,21610,21840,789760,VCB
110,6/15/2016,21800,21800,21570,21610,603140,VCB
111,6/16/2016,21660,21750,21520,21570,627180,VCB
112,6/17/2016,21390,21570,21300,21300,946910,VCB
113,6/20/2016,21300,21390,20940,21210,622260,VCB
114,6/21/2016,21210,21300,21160,21250,527750,VCB
115,6/22/2016,21250,21300,21030,21160,483280,VCB
116,6/23/2016,21210,21700,21160,21700,688340,VCB
117,6/24/2016,21660,21700,20210,21160,827980,VCB
118,6/27/2016,20980,20980,20530,20890,341850,VCB
119,6/28/2016,20710,21160,20710,20980,403030,VCB
120,6/29/2016,21070,21430,21070,21390,544530,VCB
121,6/30/2016,21300,21480,21250,21390,478490,VCB
122,7/1/2016,21390,21610,21250,21480,523850,VCB
123,7/4/2016,21480,22340,21480,22250,1206430,VCB
124,7/5/2016,22340,23510,22340,22840,1658790,VCB
125,7/6/2016,22610,23290,22560,22610,592020,VCB
126,7/7/2016,22840,23060,22520,23060,714940,VCB
127,7/8/2016,23060,23740,22610,23060,834180,VCB
128,7/11/2016,23290,24190,23060,23510,1538540,VCB
129,7/12/2016,23510,24420,23510,24420,725030,VCB
130,7/13/2016,24420,26000,24420,26000,1442560,VCB
131,7/14/2016,26230,26450,25320,25320,921830,VCB
132,7/15/2016,25320,25770,24420,24420,850920,VCB
133,7/18/2016,24190,25320,23970,25100,736570,VCB
134,7/19/2016,25320,25770,24870,25320,559050,VCB
135,7/20/2016,25550,25550,24420,24870,422540,VCB
136,7/21/2016,24870,25100,23970,25100,657360,VCB
137,7/22/2016,24870,25100,23510,23510,886600,VCB
138,7/25/2016,23510,24190,23290,23970,318900,VCB
139,7/26/2016,23970,24420,23510,23970,268770,VCB
140,7/27/2016,23740,24640,23740,24640,402240,VCB
141,7/28/2016,24640,24870,24190,24870,91390,VCB
142,7/29/2016,24640,24870,24190,24420,225610,VCB
143,8/1/2016,24420,24420,23970,23970,365040,VCB
144,8/2/2016,23970,23970,23060,23290,634560,VCB
145,8/3/2016,23060,23290,22380,22840,324230,VCB
146,8/4/2016,23060,24420,22840,23510,537660,VCB
147,8/5/2016,23740,23740,22840,23060,327970,VCB
148,8/8/2016,23290,23510,22840,23510,348760,VCB
149,8/9/2016,23510,23970,23290,23970,181050,VCB
150,8/10/2016,23740,24420,23740,24190,310040,VCB
151,8/11/2016,24190,25320,24190,25320,737430,VCB
152,8/12/2016,25100,25320,24190,24640,331030,VCB
153,8/15/2016,24190,24870,24190,24640,165580,VCB
154,8/16/2016,24420,24870,24190,24420,513280,VCB
155,8/17/2016,24420,24420,23510,23970,635370,VCB
156,8/18/2016,24420,24870,23970,23970,577820,VCB
157,8/19/2016,23970,24640,23970,24190,250570,VCB
158,8/22/2016,24870,24870,24190,24190,466900,VCB
159,8/23/2016,23970,24420,23740,23970,559330,VCB
160,8/24/2016,24190,24640,24190,24420,275230,VCB
161,8/25/2016,24420,24640,24190,24420,453540,VCB
162,8/26/2016,25320,26000,25100,26000,1821780,VCB
163,8/29/2016,26910,27360,26000,26000,1324350,VCB
164,8/30/2016,25550,25770,24870,25100,1550890,VCB
165,8/31/2016,25100,25550,24190,24420,2593570,VCB
166,9/1/2016,24640,24870,23290,23740,3427730,VCB
167,9/5/2016,23740,23740,22520,22840,4191860,VCB
168,9/6/2016,23060,23290,22610,22840,1844160,VCB
169,9/7/2016,23060,23510,22610,22840,1582570,VCB
170,9/8/2016,23060,23060,22610,22840,1899730,VCB
171,9/9/2016,23680,24360,23550,24110,3353710,VCB
172,9/12/2016,23990,24050,23050,23330,1033010,VCB
173,9/13/2016,23360,23360,22430,22430,2161880,VCB
174,9/14/2016,22150,23300,22150,22740,1555400,VCB
175,9/15/2016,22930,23120,22430,22430,717270,VCB
176,9/16/2016,22430,22490,21810,21810,7265480,VCB
177,9/19/2016,22240,22960,22240,22840,1527320,VCB
178,9/20/2016,22870,23430,22620,23330,1203310,VCB
179,9/21/2016,23180,23430,23050,23330,1739860,VCB
180,9/22/2016,23550,23860,23330,23360,1593200,VCB
181,9/23/2016,23360,23460,23180,23270,836780,VCB
182,9/26/2016,23300,23650,23080,23430,1147450,VCB
183,9/27/2016,23430,24080,23300,24050,2049090,VCB
184,9/28/2016,24170,24420,24020,24300,1753620,VCB
185,9/29/2016,24300,24390,23680,23860,1749200,VCB
186,9/30/2016,23860,24170,23680,23860,1402860,VCB
187,10/3/2016,23860,24050,23490,23610,1293590,VCB
188,10/4/2016,23610,24050,23550,23610,1653180,VCB
189,10/5/2016,23990,24050,23770,23800,931670,VCB
190,10/6/2016,23800,24080,23800,23890,1173090,VCB
191,10/7/2016,23960,24080,23550,23650,1316880,VCB
192,10/10/2016,23650,23800,23050,23360,1014570,VCB
193,10/11/2016,23490,23550,22800,23550,2070950,VCB
194,10/12/2016,23550,23650,23330,23430,532610,VCB
195,10/13/2016,23490,23490,23120,23240,587930,VCB
196,10/14/2016,23240,23490,23180,23180,840790,VCB
197,10/17/2016,23180,23180,22680,22680,1573680,VCB
