,time,open,high,low,close,volume,ticker
1,1/4/2016,13340,13530,13160,13250,86300,VCS
2,1/5/2016,13250,13390,13060,13060,74800,VCS
3,1/6/2016,13160,13160,13060,13160,63910,VCS
4,1/7/2016,13160,13160,12880,13060,38840,VCS
5,1/8/2016,13060,13060,12820,12970,36559,VCS
6,1/11/2016,13040,13040,12610,12610,36900,VCS
7,1/12/2016,12610,12880,12420,12800,63178,VCS
8,1/13/2016,12800,13120,12800,13040,47050,VCS
9,1/14/2016,13030,13030,12720,12880,38539,VCS
10,1/15/2016,13030,13060,12700,12700,71130,VCS
11,1/18/2016,12490,12970,12070,12530,128411,VCS
12,1/19/2016,12870,12880,12450,12800,38206,VCS
13,1/20/2016,12700,13030,12630,12800,50400,VCS
14,1/21/2016,12870,12870,12700,12700,27400,VCS
15,1/22/2016,12880,12880,12530,12700,58541,VCS
16,1/25/2016,12880,12970,12700,12940,36000,VCS
17,1/26/2016,12720,12900,12700,12700,57140,VCS
18,1/27/2016,12720,12940,12700,12700,28312,VCS
19,1/28/2016,12870,12870,12490,12530,51000,VCS
20,1/29/2016,12870,13060,11860,11860,131627,VCS
21,2/1/2016,12160,12510,11860,12160,63400,VCS
22,2/2/2016,12160,12250,12160,12160,23932,VCS
23,2/3/2016,11790,12140,11790,12010,56723,VCS
24,2/4/2016,11970,12140,11630,11910,82600,VCS
25,2/5/2016,11910,12970,11910,12670,77600,VCS
26,2/15/2016,12650,12650,12360,12530,23800,VCS
27,2/16/2016,12610,12830,12540,12590,54012,VCS
28,2/17/2016,12750,12750,12590,12670,37720,VCS
29,2/18/2016,12610,12830,12530,12530,154750,VCS
30,2/19/2016,12560,12730,12540,12720,65313,VCS
31,2/22/2016,12880,13780,12880,13780,223020,VCS
32,2/23/2016,14120,14160,13710,13710,102700,VCS
33,2/24/2016,13690,14330,13490,14100,99974,VCS
34,2/25/2016,14070,14160,13690,13690,84226,VCS
35,2/26/2016,13800,13980,13610,13760,96360,VCS
36,2/29/2016,13800,14140,13800,13980,67326,VCS
37,3/1/2016,13980,14070,13800,13980,60600,VCS
38,3/2/2016,13980,14720,13980,14520,152555,VCS
39,3/3/2016,14520,14800,14430,14520,39244,VCS
40,3/4/2016,14520,14880,14520,14800,72605,VCS
41,3/7/2016,14810,15150,14390,14390,111020,VCS
42,3/8/2016,14610,14690,14330,14520,85335,VCS
43,3/9/2016,14520,14800,14470,14550,43408,VCS
44,3/10/2016,14800,14950,14650,14880,42338,VCS
45,3/11/2016,14880,14920,14330,14690,123370,VCS
46,3/14/2016,14690,14690,14490,14590,56420,VCS
47,3/15/2016,14590,14650,14450,14450,71650,VCS
48,3/16/2016,14880,15880,14880,15610,185248,VCS
49,3/17/2016,15610,16520,15610,16309,117018,VCS
50,3/18/2016,16520,16520,15970,16250,44600,VCS
51,3/21/2016,16250,16660,16170,16600,44300,VCS
52,3/22/2016,16600,16610,16190,16460,89465,VCS
53,3/23/2016,16520,16520,16250,16329,113210,VCS
54,3/24/2016,16329,17060,16329,16880,97360,VCS
55,3/25/2016,17060,17060,16190,16350,68410,VCS
56,3/28/2016,16520,17340,16520,17150,124952,VCS
57,3/29/2016,17150,17780,17150,17270,140015,VCS
58,3/30/2016,17410,17430,16920,17030,73200,VCS
59,3/31/2016,17060,17060,16520,16520,178627,VCS
60,4/1/2016,16520,16520,15970,15970,94271,VCS
61,4/4/2016,15970,16149,15710,15710,86820,VCS
62,4/5/2016,15710,15780,15420,15780,120160,VCS
63,4/6/2016,15970,16059,15610,15720,46910,VCS
64,4/7/2016,15780,15880,15710,15780,35800,VCS
