,time,open,high,low,close,volume,ticker
1,1/4/2016,24670,25641,24400,25641,4809120,VIC
2,1/5/2016,25371,25749,25263,25641,2480100,VIC
3,1/6/2016,25587,25857,25210,25641,1976280,VIC
4,1/7/2016,25263,26019,25102,25911,2852010,VIC
5,1/8/2016,25641,25911,25371,25911,1641950,VIC
6,1/11/2016,25911,26505,25695,26073,1591300,VIC
7,1/12/2016,26073,26127,25695,25911,1030900,VIC
8,1/13/2016,25911,25911,25479,25857,2003030,VIC
9,1/14/2016,25479,26019,25479,25911,2616100,VIC
10,1/15/2016,25965,25965,25587,25641,931360,VIC
11,1/18/2016,25263,25695,24292,25641,2516720,VIC
12,1/19/2016,25479,25965,25479,25641,736420,VIC
13,1/20/2016,25425,25911,25425,25587,1569270,VIC
14,1/21/2016,25749,25911,25533,25803,2201170,VIC
15,1/22/2016,25803,26505,25803,26073,1432160,VIC
16,1/25/2016,26181,26181,25911,26073,1960040,VIC
17,1/26/2016,25911,26127,25533,25911,1779070,VIC
18,1/27/2016,25587,25695,25317,25641,3440360,VIC
19,1/28/2016,25371,26073,25371,26073,4244530,VIC
20,1/29/2016,25911,26019,25479,25695,2231860,VIC
21,2/1/2016,25479,25857,25371,25371,1133280,VIC
22,2/2/2016,25263,25479,25210,25371,1017260,VIC
23,2/3/2016,25210,25371,24832,25371,1102250,VIC
24,2/4/2016,25371,25641,25371,25371,404050,VIC
25,2/5/2016,25048,25371,25048,25156,895260,VIC
26,2/15/2016,25102,25156,24562,24562,685060,VIC
27,2/16/2016,24940,24940,24562,24616,392060,VIC
28,2/17/2016,24994,24994,24562,24562,259490,VIC
29,2/18/2016,24832,24940,24670,24832,595150,VIC
30,2/19/2016,24778,24778,23914,24346,1393710,VIC
31,2/22/2016,24346,24400,24076,24400,724960,VIC
32,2/23/2016,24400,24994,24400,24616,418590,VIC
33,2/24/2016,24508,24778,24346,24508,534860,VIC
34,2/25/2016,24562,24778,24508,24562,528840,VIC
35,2/26/2016,24616,24724,24130,24292,1235270,VIC
36,2/29/2016,24292,24292,23806,23806,259290,VIC
37,3/1/2016,23860,24076,23536,23806,956870,VIC
38,3/2/2016,23968,24346,23860,24292,560340,VIC
39,3/3/2016,24400,24562,24292,24508,491450,VIC
40,3/4/2016,24508,24832,24400,24724,802550,VIC
41,3/7/2016,24724,25102,24562,24724,557500,VIC
42,3/8/2016,24616,25048,24616,25048,1079780,VIC
43,3/9/2016,25102,25317,25102,25102,1123530,VIC
44,3/10/2016,25102,25263,25048,25102,575310,VIC
45,3/11/2016,25102,25102,24508,24508,560370,VIC
46,3/14/2016,24400,24562,24292,24508,346630,VIC
47,3/15/2016,24508,24832,24184,24292,1073480,VIC
48,3/16/2016,24130,24238,24076,24076,434350,VIC
49,3/17/2016,24400,24454,24238,24292,488110,VIC
50,3/18/2016,24292,24346,23806,23806,5451040,VIC
51,3/21/2016,24130,24616,24130,24400,1039980,VIC
52,3/22/2016,24400,24616,24238,24562,657090,VIC
53,3/23/2016,24292,24616,24076,24508,1615870,VIC
54,3/24/2016,24508,24562,24292,24346,510060,VIC
55,3/25/2016,24292,24832,24292,24724,1257200,VIC
56,3/28/2016,24886,25263,24778,25210,820660,VIC
57,3/29/2016,25371,25587,25156,25263,1482760,VIC
58,3/30/2016,24778,25371,24778,25371,650730,VIC
59,3/31/2016,25048,25695,25048,25479,1398070,VIC
60,4/1/2016,25479,25587,25263,25479,548420,VIC
61,4/4/2016,25533,25533,25263,25425,351710,VIC
62,4/5/2016,25425,25533,25102,25425,323780,VIC
63,4/6/2016,25425,25695,25317,25695,547050,VIC
64,4/7/2016,25695,25749,25425,25479,289730,VIC
65,4/8/2016,25479,25695,25317,25641,600280,VIC
66,4/11/2016,25641,27261,25641,27261,1288260,VIC
67,4/12/2016,28071,28341,27531,28071,1157120,VIC
68,4/13/2016,27801,28610,27261,28071,807840,VIC
69,4/14/2016,28071,29420,27801,28341,1075850,VIC
70,4/15/2016,28341,29420,28071,28071,1549470,VIC
71,4/19/2016,28071,28071,26829,26829,1021510,VIC
72,4/20/2016,26829,27531,26829,27261,1417390,VIC
73,4/21/2016,27801,28341,27261,27801,1196330,VIC
74,4/22/2016,27801,29690,27801,29420,1729690,VIC
75,4/25/2016,29960,30230,28341,28341,1404690,VIC
76,4/26/2016,28341,29420,28341,29150,724510,VIC
77,4/27/2016,29690,29690,28071,28610,974580,VIC
78,4/28/2016,28610,28880,28071,28071,520580,VIC
79,4/29/2016,28341,28610,28071,28341,421970,VIC
80,5/4/2016,27801,28341,27531,27531,755160,VIC
81,5/5/2016,27801,28610,27801,27801,413180,VIC
82,5/6/2016,28071,28341,28071,28341,813560,VIC
83,5/9/2016,28610,28610,28071,28071,786590,VIC
84,5/10/2016,28071,28071,27531,28071,698580,VIC
85,5/11/2016,28071,28880,28071,28880,865680,VIC
86,5/12/2016,29150,29420,28880,28880,469130,VIC
87,5/13/2016,29150,29150,28610,28880,793060,VIC
88,5/16/2016,28880,29960,28610,29690,1233650,VIC
89,5/17/2016,29960,29960,29420,29420,518280,VIC
90,5/18/2016,29420,29420,28880,28880,586250,VIC
91,5/19/2016,29420,29420,28610,28880,623940,VIC
92,5/20/2016,28880,29150,27801,27801,1554880,VIC
93,5/23/2016,28071,28071,27261,28071,1410160,VIC
94,5/24/2016,28610,28610,27801,28071,471240,VIC
95,5/25/2016,28071,28341,27801,28071,283630,VIC
96,5/26/2016,28071,28071,27261,27531,611130,VIC
97,5/27/2016,27531,28071,27531,27801,383940,VIC
98,5/30/2016,28071,29150,28071,28880,1078090,VIC
99,5/31/2016,28880,29150,28341,28341,418750,VIC
100,6/1/2016,28610,28880,28341,28880,469570,VIC
101,6/2/2016,28880,29150,28610,28880,510870,VIC
102,6/3/2016,28880,29150,28610,29150,345410,VIC
103,6/6/2016,29150,29420,28610,28880,295810,VIC
104,6/7/2016,28880,29420,28880,29420,401370,VIC
105,6/8/2016,29420,30230,29150,29420,1064310,VIC
106,6/9/2016,29420,29690,29150,29420,113090,VIC
107,6/10/2016,29420,29690,29150,29150,170630,VIC
108,6/13/2016,28880,28880,28341,28341,631990,VIC
109,6/14/2016,28341,28880,28341,28880,278210,VIC
110,6/15/2016,29150,29420,28610,28880,311910,VIC
111,6/16/2016,28880,29150,28610,28880,455360,VIC
112,6/17/2016,28610,28880,28071,28071,3234450,VIC
113,6/20/2016,28341,29150,28071,28880,231660,VIC
114,6/21/2016,29150,29420,28880,29150,333390,VIC
115,6/22/2016,29150,29150,28341,28341,464600,VIC
116,6/23/2016,28610,28880,28341,28610,291630,VIC
117,6/24/2016,28341,28610,26667,28071,1143290,VIC
118,6/27/2016,29330,29330,28730,29030,527320,VIC
119,6/28/2016,29030,29030,28610,28610,414530,VIC
120,6/29/2016,28610,29090,28610,28790,625710,VIC
121,6/30/2016,29090,30590,28910,29630,814400,VIC
122,7/1/2016,30290,30890,29930,30590,888200,VIC
123,7/4/2016,30890,31190,30590,30590,459790,VIC
124,7/5/2016,30890,31490,30590,30590,579190,VIC
125,7/6/2016,30590,30890,30290,30590,528660,VIC
126,7/7/2016,30890,31190,30290,30890,640510,VIC
127,7/8/2016,31190,31190,30590,30890,718620,VIC
128,7/11/2016,30890,31190,30290,30590,632350,VIC
129,7/12/2016,30590,31190,30590,31190,1001810,VIC
130,7/13/2016,31490,32989,31490,32989,1578230,VIC
131,7/14/2016,32989,33289,32089,32089,973530,VIC
132,7/15/2016,32389,32689,31789,32689,373250,VIC
133,7/18/2016,32689,32689,32089,32389,519810,VIC
134,7/19/2016,32389,32689,30290,31190,1550450,VIC
135,7/20/2016,31190,31490,29990,29990,1193970,VIC
136,7/21/2016,30290,30890,29930,30290,622420,VIC
137,7/22/2016,30290,30590,29750,29990,628770,VIC
138,7/25/2016,30290,30590,29990,30290,148890,VIC
139,7/26/2016,30290,30590,29870,30290,266140,VIC
140,7/27/2016,30290,30590,29990,30590,335420,VIC
