,time,open,high,low,close,volume,ticker
1,1/4/2016,53490,53910,52640,53060,469320,VNM
2,1/5/2016,53060,53490,52640,52640,285680,VNM
3,1/6/2016,52640,53060,52230,53060,250760,VNM
4,1/7/2016,52640,52640,51390,52230,731010,VNM
5,1/8/2016,51800,51800,50960,51390,615950,VNM
6,1/11/2016,50960,51800,50960,50960,407320,VNM
7,1/12/2016,50960,51800,50960,51800,288070,VNM
8,1/13/2016,51800,51800,50960,50960,232630,VNM
9,1/14/2016,50960,51390,50540,50960,338870,VNM
10,1/15/2016,51390,51800,50540,50540,495560,VNM
11,1/18/2016,50120,50120,48010,49280,1244120,VNM
12,1/19/2016,48850,50120,48850,50120,375380,VNM
13,1/20/2016,49700,50120,49280,49280,313330,VNM
14,1/21/2016,48850,49700,48440,48850,333300,VNM
15,1/22/2016,48850,49280,47180,48010,716530,VNM
16,1/25/2016,48850,49700,48440,49700,325040,VNM
17,1/26/2016,48850,49280,48010,48440,289980,VNM
18,1/27/2016,49280,49280,48440,49280,276700,VNM
19,1/28/2016,48850,49700,48850,48850,249720,VNM
20,1/29/2016,48850,49280,48440,48850,178270,VNM
21,2/1/2016,48850,50540,48850,50120,865310,VNM
22,2/2/2016,49700,50960,49700,50120,251520,VNM
23,2/3/2016,49700,50960,49700,50960,269870,VNM
24,2/4/2016,51800,52230,51390,51390,257320,VNM
25,2/5/2016,51390,52230,51390,52230,204410,VNM
26,2/15/2016,51390,53060,51390,53060,473520,VNM
27,2/16/2016,53910,54340,53490,53910,622180,VNM
28,2/17/2016,55590,56020,54340,54750,2003290,VNM
29,2/18/2016,55180,55180,53910,54340,833000,VNM
30,2/19/2016,54750,54750,53910,54340,373060,VNM
31,2/22/2016,54340,55180,53910,54750,763080,VNM
32,2/23/2016,55180,55590,54340,54750,873310,VNM
33,2/24/2016,54750,55180,54340,55180,489650,VNM
34,2/25/2016,55180,55590,54340,54340,780490,VNM
35,2/26/2016,54750,54750,53910,54750,538020,VNM
36,2/29/2016,54750,54750,53910,53910,476190,VNM
37,3/1/2016,54340,55180,53910,54750,673510,VNM
38,3/2/2016,55180,55590,54340,55590,817420,VNM
39,3/3/2016,55590,56020,55180,55180,430930,VNM
40,3/4/2016,55180,55590,54750,55590,309870,VNM
41,3/7/2016,55180,56020,55180,55180,598820,VNM
42,3/8/2016,55180,55590,54750,55180,395200,VNM
43,3/9/2016,55180,55590,54750,55180,164840,VNM
44,3/10/2016,55180,55180,54340,55180,494890,VNM
45,3/11/2016,54750,57280,54750,57280,2205510,VNM
46,3/14/2016,57280,57700,56440,56850,440820,VNM
47,3/15/2016,56850,58120,56440,57280,870660,VNM
48,3/16/2016,57280,58120,56850,57700,376070,VNM
49,3/17/2016,58120,58970,57700,58120,739970,VNM
50,3/18/2016,57700,58120,57700,58120,335290,VNM
51,3/21/2016,57700,58540,56850,56850,539910,VNM
52,3/22/2016,56850,56850,55590,56020,1036240,VNM
53,3/23/2016,56020,56850,56020,56440,389980,VNM
54,3/24/2016,56440,57280,56020,56850,568030,VNM
55,3/25/2016,56440,56850,55590,56440,597170,VNM
56,3/28/2016,56440,56850,56020,56850,177060,VNM
57,3/29/2016,56850,57280,56440,56440,364550,VNM
58,3/30/2016,56440,57700,56020,57280,645090,VNM
59,3/31/2016,57280,57700,56440,56440,499710,VNM
60,4/1/2016,56440,57280,56020,56440,786790,VNM
61,4/4/2016,56440,56850,56020,56440,260660,VNM
62,4/5/2016,57280,57700,56850,57700,590930,VNM
63,4/6/2016,57700,57700,56850,57700,325000,VNM
64,4/7/2016,57700,59810,57280,59370,2120080,VNM
