,time,open,high,low,close,volume,ticker
0,2016-01-04,24670,25641,24400,25641,4809120,VIC
1,2016-01-05,25371,25749,25263,25641,2480100,VIC
2,2016-01-06,25587,25857,25210,25641,1976280,VIC
3,2016-01-07,25263,26019,25102,25911,2852010,VIC
4,2016-01-08,25641,25911,25371,25911,1641950,VIC
5,2016-01-11,25911,26505,25695,26073,1591300,VIC
6,2016-01-12,26073,26127,25695,25911,1030900,VIC
7,2016-01-13,25911,25911,25479,25857,2003030,VIC
8,2016-01-14,25479,26019,25479,25911,2616100,VIC
9,2016-01-15,25965,25965,25587,25641,931360,VIC
10,2016-01-18,25263,25695,24292,25641,2516720,VIC
11,2016-01-19,25479,25965,25479,25641,736420,VIC
12,2016-01-20,25425,25911,25425,25587,1569270,VIC
13,2016-01-21,25749,25911,25533,25803,2201170,VIC
14,2016-01-22,25803,26505,25803,26073,1432160,VIC
15,2016-01-25,26181,26181,25911,26073,1960040,VIC
16,2016-01-26,25911,26127,25533,25911,1779070,VIC
17,2016-01-27,25587,25695,25317,25641,3440360,VIC
18,2016-01-28,25371,26073,25371,26073,4244530,VIC
19,2016-01-29,25911,26019,25479,25695,2231860,VIC
20,2016-02-01,25479,25857,25371,25371,1133280,VIC
21,2016-02-02,25263,25479,25210,25371,1017260,VIC
22,2016-02-03,25210,25371,24832,25371,1102250,VIC
23,2016-02-04,25371,25641,25371,25371,404050,VIC
24,2016-02-05,25048,25371,25048,25156,895260,VIC
25,2016-02-15,25102,25156,24562,24562,685060,VIC
26,2016-02-16,24940,24940,24562,24616,392060,VIC
27,2016-02-17,24994,24994,24562,24562,259490,VIC
28,2016-02-18,24832,24940,24670,24832,595150,VIC
29,2016-02-19,24778,24778,23914,24346,1393710,VIC
30,2016-02-22,24346,24400,24076,24400,724960,VIC
31,2016-02-23,24400,24994,24400,24616,418590,VIC
32,2016-02-24,24508,24778,24346,24508,534860,VIC
33,2016-02-25,24562,24778,24508,24562,528840,VIC
34,2016-02-26,24616,24724,24130,24292,1235270,VIC
35,2016-02-29,24292,24292,23806,23806,259290,VIC
36,2016-03-01,23860,24076,23536,23806,956870,VIC
37,2016-03-02,23968,24346,23860,24292,560340,VIC
38,2016-03-03,24400,24562,24292,24508,491450,VIC
39,2016-03-04,24508,24832,24400,24724,802550,VIC
40,2016-03-07,24724,25102,24562,24724,557500,VIC
41,2016-03-08,24616,25048,24616,25048,1079780,VIC
42,2016-03-09,25102,25317,25102,25102,1123530,VIC
43,2016-03-10,25102,25263,25048,25102,575310,VIC
